CHEMBL_ID	TID	PREF_NAME	PROTEIN_ACCESSION	TARGET_TYPE	ORGANISM	COMPOUNDS	ENDPOINTS
CHEMBL289	11365	Cytochrome P450 2D6	P10635	SINGLE PROTEIN	Homo sapiens	24222	30165
CHEMBL2366431	106575	P450 sterol 14-alpha-demethylase	E3SW77	SINGLE PROTEIN	Penicillium digitatum	6	12
CHEMBL3542436	109702	Cytochrome P450 2A13	Q16696	SINGLE PROTEIN	Homo sapiens	9	19
CHEMBL340	17045	Cytochrome P450 3A4	P08684	SINGLE PROTEIN	Homo sapiens	29587	47371
CHEMBL2033	32	Cytochrome P450 11A1	P05108	SINGLE PROTEIN	Homo sapiens	1	1
CHEMBL2212	11783	Cytochrome P450 7A1	Q64505	SINGLE PROTEIN	Mus musculus	1	7
CHEMBL3237	10763	Cytochrome P450 11B2	P30099	SINGLE PROTEIN	Rattus norvegicus	33	40
CHEMBL3522	12949	Cytochrome P450 17A1	P05093	SINGLE PROTEIN	Homo sapiens	1643	3453
CHEMBL4028	11094	Thromboxane-A synthase	P49430	SINGLE PROTEIN	Rattus norvegicus	481	658
CHEMBL5246	18037	Cytochrome P450 11A1	P14137	SINGLE PROTEIN	Rattus norvegicus	23	24
CHEMBL5282	20073	Cytochrome P450 2A6	P11509	SINGLE PROTEIN	Homo sapiens	1287	2545
CHEMBL5978	101623	Cytochrome P450 2E1	P05182	SINGLE PROTEIN	Rattus norvegicus	25	33
CHEMBL1681624	103917	14-alpha sterol demethylase	Q96W81	SINGLE PROTEIN	Neosartorya fumigata	7	11
CHEMBL5281	20056	Cytochrome P450 2E1	P05181	SINGLE PROTEIN	Homo sapiens	1047	2009
CHEMBL2722	11541	Cytochrome P450 11B2	P19099	SINGLE PROTEIN	Homo sapiens	1437	2047
CHEMBL2759	11542	Cytochrome P450 21	P08686	SINGLE PROTEIN	Homo sapiens	436	726
CHEMBL3622	12912	Cytochrome P450 2C19	P33261	SINGLE PROTEIN	Homo sapiens	21114	26701
CHEMBL3509597	109686	Cytochrome P450 4F4	P51869	SINGLE PROTEIN	Rattus norvegicus	1	2
CHEMBL3509598	109687	Cytochrome P450 4F5	P51870	SINGLE PROTEIN	Rattus norvegicus	1	2
CHEMBL2366401	106545	Cytochrome P450 14alpha-demethylase	A1XG20	SINGLE PROTEIN	Penicillium digitatum	32	59
CHEMBL3544905	109705	Cytochrome P450 1A	P04798, P05177	PROTEIN FAMILY	Homo sapiens	4	4
CHEMBL2242732	105522	Lanosterol 14-alpha demethylase	P49602	SINGLE PROTEIN	Ustilago maydis (strain 521 / FGSC 9021) (Corn smut fungus)	4	12
CHEMBL3713687	115648	Cytochrome P450 26B1	Q9NR63	SINGLE PROTEIN	Homo sapiens	24	25
