CHEMBL_ID	TID	PREF_NAME	PROTEIN_ACCESSION	TARGET_TYPE	ORGANISM	COMPOUNDS	ENDPOINTS
CHEMBL5759	101538	Mitogen-activated protein kinase 4	P31152	SINGLE PROTEIN	Homo sapiens	97	136
CHEMBL5912	101607	Serine/threonine-protein kinase 32B	Q9NY57	SINGLE PROTEIN	Homo sapiens	130	171
CHEMBL6029	102667	Eukaryotic translation initiation factor 2-alpha kinase 1	Q9BQI3	SINGLE PROTEIN	Homo sapiens	181	268
CHEMBL1075275	102822	Serine/threonine-protein kinase 12	O70126	SINGLE PROTEIN	Mus musculus	1	3
CHEMBL6083	101434	Receptor-interacting serine/threonine-protein kinase 4	P57078	SINGLE PROTEIN	Homo sapiens	89	95
CHEMBL4128	12913	Tyrosine-protein kinase TIE-2	Q02763	SINGLE PROTEIN	Homo sapiens	1913	2867
CHEMBL2553	10929	Ribosomal protein S6 kinase alpha 1	Q15418	SINGLE PROTEIN	Homo sapiens	1171	1999
CHEMBL2793	11720	Casein kinase I alpha	P48729	SINGLE PROTEIN	Homo sapiens	1616	2055
CHEMBL1163129	103458	Serine/threonine-protein kinase SBK1	Q52WX2	SINGLE PROTEIN	Homo sapiens	82	82
CHEMBL2116	10659	AMP-activated protein kinase, alpha-2 subunit	P54646	SINGLE PROTEIN	Homo sapiens	678	1110
CHEMBL1795174	104254	Mitogen-activated protein kinase 8	Q91Y86	SINGLE PROTEIN	Mus musculus	8	11
CHEMBL2094266	104731	Protein kinase C (PKC)	P05696, P09215, P09216, P09217, P63319, P68403, Q64617, Q9WTQ0	PROTEIN FAMILY	Rattus norvegicus	241	298
CHEMBL2111328	105023	Inhibitor of NF-kappa-B kinase (IKK)	O14920, O15111, Q9Y6K9	PROTEIN COMPLEX	Homo sapiens	33	76
CHEMBL2111355	105108	Pho80/Pho85	P17157, P20052	PROTEIN COMPLEX	Saccharomyces cerevisiae S288c	2	7
CHEMBL2111377	105067	CDC7/DBF4 (Cell division cycle 7-related protein kinase/Activator of S phase kinase)	O00311, Q9UBU7	PROTEIN COMPLEX	Homo sapiens	150	222
CHEMBL2111391	105086	Fibroblast growth factor receptor	P16092, P21803, Q03142, Q61851	PROTEIN FAMILY	Mus musculus	37	37
CHEMBL2111410	104916	Pho80/Pho85/Pho81 complex	P17157, P17442, P20052	PROTEIN COMPLEX	Saccharomyces cerevisiae S288c	1	23
CHEMBL2034801	104541	Tyrosine-protein kinase ZAP-70	P43404	SINGLE PROTEIN	Mus musculus	5	5
CHEMBL1907601	104295	Cyclin-dependent kinase 4/cyclin D1	P11802, P24385	PROTEIN COMPLEX	Homo sapiens	1543	1730
CHEMBL2111448	104965	CDK6/cyclin D3	P30281, Q00534	PROTEIN COMPLEX	Homo sapiens	228	392
CHEMBL2527	10531	Serine/threonine-protein kinase Chk2	O96017	SINGLE PROTEIN	Homo sapiens	2493	3293
CHEMBL2171	10235	Dual specificity mitogen-activated protein kinase kinase 6	P52564	SINGLE PROTEIN	Homo sapiens	450	747
CHEMBL3038451	107877	AMPK alpha1/beta1/gamma2	Q13131, Q9UGJ0, Q9Y478	PROTEIN COMPLEX	Homo sapiens	2	2
CHEMBL3038454	107880	AMPK alpha1/alpha2	P54646, Q13131	PROTEIN COMPLEX	Homo sapiens	12	12
CHEMBL3038516	107942	TPR/MET fusion protein	F6ZDS4, P16056	CHIMERIC PROTEIN	Mus musculus	23	51
CHEMBL5052	101053	Serine/threonine-protein kinase MRCK beta	Q9Y5S2	SINGLE PROTEIN	Homo sapiens	658	1239
CHEMBL2176844	105419	STE20-like serine/threonine-protein kinase	O54988	SINGLE PROTEIN	Mus musculus	1	1
CHEMBL2363049	105744	Epidermal growth factor receptor	P00533, P04626, P21860, Q15303	PROTEIN FAMILY	Homo sapiens	1004	2030
CHEMBL4310	30039	Serine/threonine-protein kinase MST2	Q9JI10	SINGLE PROTEIN	Mus musculus	20	20
CHEMBL3430911	109668	Serine/threonine-protein kinase Aurora	O14965, Q96GD4, Q9UQB9	PROTEIN FAMILY	Homo sapiens	1	2
CHEMBL3627582	109904	Testis-specific serine/threonine-protein kinase 6	Q9BXA6	SINGLE PROTEIN	Homo sapiens	4	4
CHEMBL5490	100070	Rho-associated protein kinase 2	Q62868	SINGLE PROTEIN	Rattus norvegicus	72	83
CHEMBL5147	100129	Ephrin type-B receptor 4	P54760	SINGLE PROTEIN	Homo sapiens	1789	2604
CHEMBL4364	100421	Tyrosine-protein kinase SYK	Q64725	SINGLE PROTEIN	Rattus norvegicus	29	70
CHEMBL3038517	107945	CDK2/CDK4	P11802, P24941	PROTEIN FAMILY	Homo sapiens	6	6
CHEMBL3721303	116671	Dual specificity mitogen-activated protein kinase kinase 3	O09110	SINGLE PROTEIN	Mus musculus	1	1
CHEMBL3988629	117283	Casein kinase 2	P19139, P67874	PROTEIN COMPLEX	Rattus norvegicus	6	6
CHEMBL3885548	117092	Cyclin-A1/Cyclin-dependent kinase 4	P11802, P78396	PROTEIN COMPLEX	Homo sapiens	4	4
CHEMBL3885602	117146	Mitogen-activated protein kinase 10/Receptor-interacting serine/threonine-protein kinase 1	P53779, Q13546	PROTEIN FAMILY	Homo sapiens	32	33
CHEMBL3883331	117044	Tropomyosin alpha-3 chain/High affinity nerve growth factor receptor	P04629, P06753	CHIMERIC PROTEIN	Homo sapiens	1	5
CHEMBL3879830	116955	G protein-coupled receptor kinase 5	P43249	SINGLE PROTEIN	Bos taurus	7	9
CHEMBL308	12071	Cyclin-dependent kinase 1	P06493	SINGLE PROTEIN	Homo sapiens	2787	3738
CHEMBL1906	10904	Serine/threonine-protein kinase RAF	P04049	SINGLE PROTEIN	Homo sapiens	2590	3554
CHEMBL3142	10056	DNA-dependent protein kinase	P78527	SINGLE PROTEIN	Homo sapiens	1375	1683
CHEMBL2610	10986	CaM kinase II beta	P08413	SINGLE PROTEIN	Rattus norvegicus	2	2
CHEMBL2634	10844	Tyrosine-protein kinase CSK	P41240	SINGLE PROTEIN	Homo sapiens	1087	1792
CHEMBL2637	11408	c-Jun N-terminal kinase 3	P53779	SINGLE PROTEIN	Homo sapiens	1982	2451
CHEMBL2689	11379	Macrophage-stimulating protein receptor	Q04912	SINGLE PROTEIN	Homo sapiens	1191	1794
CHEMBL3832	30051	ULK3 kinase	Q3U3Q1	SINGLE PROTEIN	Mus musculus	23	23
CHEMBL3343	11836	Tyrosine-protein kinase BLK	P16277	SINGLE PROTEIN	Mus musculus	33	33
CHEMBL3616	11617	Protein kinase C eta	P24723	SINGLE PROTEIN	Homo sapiens	944	1634
CHEMBL3650	10266	Fibroblast growth factor receptor 1	P11362	SINGLE PROTEIN	Homo sapiens	4632	7159
CHEMBL3669	20084	Glycogen synthase kinase-3 beta	P18266	SINGLE PROTEIN	Rattus norvegicus	24	41
CHEMBL3984	30033	Tyrosine- and threonine-specific cdc2-inhibitory kinase	Q99640	SINGLE PROTEIN	Homo sapiens	129	205
CHEMBL4226	30015	Dual specificity protein kinase CLK3	P49761	SINGLE PROTEIN	Homo sapiens	847	1527
CHEMBL4246	100418	Tyrosine-protein kinase TEC	P42680	SINGLE PROTEIN	Homo sapiens	664	1256
CHEMBL4375	100789	Serine/threonine-protein kinase SRPK1	Q96SB4	SINGLE PROTEIN	Homo sapiens	1398	2043
CHEMBL4501	12944	Ribosomal protein S6 kinase 1	P23443	SINGLE PROTEIN	Homo sapiens	3155	4474
CHEMBL4602	30027	Ephrin type-A receptor 7	Q15375	SINGLE PROTEIN	Homo sapiens	320	560
CHEMBL4990	11710	MAP kinase-activated protein kinase 2	P49138	SINGLE PROTEIN	Mus musculus	3	3
CHEMBL5003	101255	Serine/threonine-protein kinase CAK1	P43568	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	2	2
CHEMBL5146	100128	Breakpoint cluster region protein	P11274	SINGLE PROTEIN	Homo sapiens	22	22
CHEMBL5330	100947	Mitogen-activated protein kinase kinase kinase kinase 2	Q12851	SINGLE PROTEIN	Homo sapiens	1590	2163
CHEMBL5382	100963	RAC-beta serine/threonine-protein kinase	Q60823	SINGLE PROTEIN	Mus musculus	1	1
CHEMBL5426	101182	Myosin light chain kinase family member 4	Q86YV6	SINGLE PROTEIN	Homo sapiens	117	156
CHEMBL5435	101191	Serine/threonine-protein kinase ULK2	Q8IYT8	SINGLE PROTEIN	Homo sapiens	266	435
CHEMBL5520	101222	Casein kinase I isoform alpha-like	Q8N752	SINGLE PROTEIN	Homo sapiens	105	137
CHEMBL5771	101550	ALK tyrosine kinase receptor	P97793	SINGLE PROTEIN	Mus musculus	6	6
CHEMBL5785	101333	Interferon-induced, double-stranded RNA-activated protein kinase	P19525	SINGLE PROTEIN	Homo sapiens	225	271
CHEMBL5809	101339	Mitogen-activated protein kinase 3	P21708	SINGLE PROTEIN	Rattus norvegicus	2	2
CHEMBL5568	101019	Proto-oncogene tyrosine-protein kinase ROS	P08922	SINGLE PROTEIN	Homo sapiens	1338	1997
CHEMBL5600	100140	Serine/threonine-protein kinase c-TAK1	P27448	SINGLE PROTEIN	Homo sapiens	1471	1942
CHEMBL1075104	103154	Leucine-rich repeat serine/threonine-protein kinase 2	Q5S007	SINGLE PROTEIN	Homo sapiens	2327	4769
CHEMBL1163117	103446	Cyclin-dependent kinase-like 3	Q8IVW4	SINGLE PROTEIN	Homo sapiens	84	90
CHEMBL5940	101612	Serine/threonine-protein kinase MARK1	Q9P0L2	SINGLE PROTEIN	Homo sapiens	783	1392
CHEMBL1075225	102924	Tyrosine-protein kinase JAK2	Q62689	SINGLE PROTEIN	Rattus norvegicus	1	1
CHEMBL5970	101399	Mitogen-activated protein kinase kinase kinase 3	Q99759	SINGLE PROTEIN	Homo sapiens	115	122
CHEMBL1075255	102963	Casein kinase II subunit alpha	P40231	SINGLE PROTEIN	Schizosaccharomyces pombe 972h-	1	1
CHEMBL6054	102399	PAS domain-containing serine/threonine-protein kinase	Q96RG2	SINGLE PROTEIN	Homo sapiens	1393	2241
CHEMBL1075295	102846	Protein kinase C theta type	Q02111	SINGLE PROTEIN	Mus musculus	4	4
CHEMBL2873	11873	Mitogen-activated protein kinase kinase kinase 10	Q02779	SINGLE PROTEIN	Homo sapiens	171	212
CHEMBL1255154	103565	5'-AMP-activated protein kinase catalytic subunit alpha-2	Q8BRK8	SINGLE PROTEIN	Mus musculus	12	24
CHEMBL2010622	104490	Leucine-rich repeat serine/threonine-protein kinase 2	Q5S006	SINGLE PROTEIN	Mus musculus	4	8
CHEMBL2093867	104683	Protein kinase C (PKC)	O94806, P05129, P05771, P17252, P24723, P41743, Q02156, Q04759, Q05513, Q05655, Q15139	PROTEIN FAMILY	Homo sapiens	474	611
CHEMBL2095191	104775	Casein kinase II	P19784, P67870, P68400	PROTEIN COMPLEX GROUP	Homo sapiens	923	1406
CHEMBL2097168	104879	Protein kinase C, PKC; classical	P05696, P63319, P68403	PROTEIN FAMILY	Rattus norvegicus	88	135
CHEMBL2111324	105018	Phosphorylase kinase	P15735, P46019, P46020, Q16816, Q93100	PROTEIN COMPLEX GROUP	Homo sapiens	40	41
CHEMBL2111439	104955	VEGF-receptor 2 and Fibroblast growth factor receptor 1	P11362, P35968	PROTEIN FAMILY	Homo sapiens	50	50
CHEMBL1909485	104330	Glycogen synthase kinase 3 beta	B2LUN4	SINGLE PROTEIN	Sus scrofa	50	50
CHEMBL2201	11048	Dual specificity mitogen-activated protein kinase kinase 4	P47809	SINGLE PROTEIN	Mus musculus	23	23
CHEMBL3430877	109634	Proto-oncogene tyrosine-protein kinase receptor Ret /Nuclear receptor coactivator 4 fusion protein	P07949, Q13772	CHIMERIC PROTEIN	Homo sapiens	1	1
CHEMBL4312	30041	Serine/threonine-protein kinase 36	Q9NRP7	SINGLE PROTEIN	Homo sapiens	104	164
CHEMBL2375201	107581	Tyrosine-protein kinase transmembrane receptor ROR2	Q01974	SINGLE PROTEIN	Homo sapiens	1	1
CHEMBL3038457	107883	AMPK alpha2/beta2/gamma3	O43741, P54646, Q9UGI9	PROTEIN COMPLEX	Homo sapiens	5	6
CHEMBL3038471	107897	CDK3/Cyclin E	P24864, Q00526	PROTEIN COMPLEX	Homo sapiens	462	836
CHEMBL3038494	107920	Casein kinase I delta/epsilon	P48730, P49674	PROTEIN COMPLEX	Homo sapiens	31	31
CHEMBL4524	30044	Serine/threonine-protein kinase PAK7	Q9P286	SINGLE PROTEIN	Homo sapiens	837	1570
CHEMBL4851	30048	Serine/threonine-protein kinase 38-like	Q9Y2H1	SINGLE PROTEIN	Homo sapiens	134	192
CHEMBL5810	101340	Ephrin type-A receptor 1	P21709	SINGLE PROTEIN	Homo sapiens	368	598
CHEMBL2176784	105359	Serine/threonine-protein kinase MAK	Q04859	SINGLE PROTEIN	Mus musculus	2	2
CHEMBL6144	102447	G protein-coupled receptor kinase 6	P43250	SINGLE PROTEIN	Homo sapiens	731	1270
CHEMBL2258	12470	Tyrosine-protein kinase Lyn	P25911	SINGLE PROTEIN	Mus musculus	16	17
CHEMBL2558	11150	Death-associated protein kinase 1	P53355	SINGLE PROTEIN	Homo sapiens	718	1313
CHEMBL2959	10918	Tyrosine-protein kinase ITK/TSK	Q08881	SINGLE PROTEIN	Homo sapiens	2117	3134
CHEMBL1163123	103452	Mitogen-activated protein kinase kinase kinase 6	O95382	SINGLE PROTEIN	Homo sapiens	89	95
CHEMBL5888	101365	Mitogen-activated protein kinase kinase kinase 14	Q99558	SINGLE PROTEIN	Homo sapiens	622	1706
CHEMBL3351220	109544	Ribosomal protein S6 kinase alpha-2	Q9WUT3	SINGLE PROTEIN	Mus musculus	27	27
CHEMBL2321619	105608	Non-receptor tyrosine-protein kinase TYK2	Q9R117	SINGLE PROTEIN	Mus musculus	4	5
CHEMBL3638340	109945	Cyclin-dependent kinase 4	Q0GMK6	SINGLE PROTEIN	Oryctolagus cuniculus	20	40
CHEMBL3711487	113448	Beta-adrenergic receptor kinase 2	P26818	SINGLE PROTEIN	Bos taurus	6	6
CHEMBL3885550	117094	Cyclin-Y/Cyclin-dependent kinase 16	Q00536, Q8ND76	PROTEIN COMPLEX	Homo sapiens	4	4
CHEMBL3885599	117143	LIM domain kinase 1/2	P53667, P53671	PROTEIN FAMILY	Homo sapiens	2	3
CHEMBL3885616	117160	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform/[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial	P42336, Q15118	PROTEIN FAMILY	Homo sapiens	16	16
CHEMBL3885635	117179	Serine-protein kinase ATM/ATR	Q13315, Q13535	PROTEIN FAMILY	Homo sapiens	1	3
CHEMBL3883293	117007	MAP kinase-interacting serine/threonine-protein kinase 1/2	Q9BUB5, Q9HBH9	PROTEIN FAMILY	Homo sapiens	14	15
CHEMBL3883298	117011	Inhibitor of NF-kappa-B kinase alpha/beta	O14920, O15111	PROTEIN COMPLEX	Homo sapiens	13	13
CHEMBL3883308	117021	Axin-1/Casein kinase I epsilon	O15169, P49674	PROTEIN-PROTEIN INTERACTION	Homo sapiens	1	1
CHEMBL2336	12536	MAP kinase p38 alpha	P47811	SINGLE PROTEIN	Mus musculus	225	263
CHEMBL2428	10250	Myosin light chain kinase, smooth muscle	Q15746	SINGLE PROTEIN	Homo sapiens	483	821
CHEMBL2567	12504	Protein kinase C alpha	P20444	SINGLE PROTEIN	Mus musculus	235	283
CHEMBL1913	197	Platelet-derived growth factor receptor beta	P09619	SINGLE PROTEIN	Homo sapiens	2779	4075
CHEMBL267	10434	Tyrosine-protein kinase SRC	P12931	SINGLE PROTEIN	Homo sapiens	6874	9217
CHEMBL3183	12264	cGMP-dependent protein kinase 1 alpha	P00516	SINGLE PROTEIN	Bos taurus	33	35
CHEMBL3231	10811	Rho-associated protein kinase 1	Q13464	SINGLE PROTEIN	Homo sapiens	2901	3691
CHEMBL2598	10901	Protein kinase C iota	P41743	SINGLE PROTEIN	Homo sapiens	1710	2298
CHEMBL2654	12345	cAMP-dependent protein kinase alpha-catalytic subunit	P00517	SINGLE PROTEIN	Bos taurus	43	43
CHEMBL2791	11713	Neurotrophic tyrosine kinase receptor type 3	Q6VNS1	SINGLE PROTEIN	Mus musculus	4	19
CHEMBL2850	11017	Glycogen synthase kinase-3 alpha	P49840	SINGLE PROTEIN	Homo sapiens	2245	2959
CHEMBL3045	11636	Protein kinase C beta	P05771	SINGLE PROTEIN	Homo sapiens	1489	3831
CHEMBL3094	11105	MAP kinase-activated protein kinase 5	Q8IW41	SINGLE PROTEIN	Homo sapiens	1637	2361
CHEMBL3839	11329	Fibroblast growth factor receptor 4	Q03142	SINGLE PROTEIN	Mus musculus	5	5
CHEMBL3863	10903	Protein kinase C mu	Q15139	SINGLE PROTEIN	Homo sapiens	901	1632
CHEMBL3893	12684	Pyruvate dehydrogenase kinase isoform 3	Q15120	SINGLE PROTEIN	Homo sapiens	2	2
CHEMBL3390	12394	cAMP-dependent protein kinase alpha-catalytic subunit	P27791	SINGLE PROTEIN	Rattus norvegicus	39	47
CHEMBL3582	10878	Protein kinase C epsilon	Q02156	SINGLE PROTEIN	Homo sapiens	812	1187
CHEMBL3956	12276	Mitogen-activated protein kinase kinase kinase 1	Q13233	SINGLE PROTEIN	Homo sapiens	146	158
CHEMBL3960	12412	Fibroblast growth factor receptor 1	P16092	SINGLE PROTEIN	Mus musculus	21	31
CHEMBL3982	30007	Tyrosine-protein kinase FER	P16591	SINGLE PROTEIN	Homo sapiens	1206	1839
CHEMBL4125	11049	Platelet-derived growth factor receptor beta	Q05030	SINGLE PROTEIN	Rattus norvegicus	40	41
CHEMBL4134	30010	Ephrin type-A receptor 8	P29322	SINGLE PROTEIN	Homo sapiens	323	567
CHEMBL4223	30012	Tyrosine-protein kinase FRK	P42685	SINGLE PROTEIN	Homo sapiens	1169	1798
CHEMBL4309	30038	Serine/threonine-protein kinase NEK6	Q9HC98	SINGLE PROTEIN	Homo sapiens	933	1670
CHEMBL4439	13004	TGF-beta receptor type I	P36897	SINGLE PROTEIN	Homo sapiens	1200	2509
CHEMBL4482	100080	Serine/threonine-protein kinase PAK 4	O96013	SINGLE PROTEIN	Homo sapiens	1894	2516
CHEMBL4577	100853	Homeodomain-interacting protein kinase 3	Q9H422	SINGLE PROTEIN	Homo sapiens	343	561
CHEMBL4601	30026	Tyrosine-protein kinase BRK	Q13882	SINGLE PROTEIN	Homo sapiens	1330	2071
CHEMBL4896	100411	PDZ-binding kinase	Q96KB5	SINGLE PROTEIN	Homo sapiens	900	912
CHEMBL5024	20139	Serine-protein kinase ATR	Q13535	SINGLE PROTEIN	Homo sapiens	271	402
CHEMBL5044	101045	Serine/threonine-protein kinase Nek5	Q6P3R8	SINGLE PROTEIN	Homo sapiens	99	138
CHEMBL5084	101058	Casein kinase I isoform gamma-3	Q9Y6M4	SINGLE PROTEIN	Homo sapiens	1285	1955
CHEMBL5260	101130	Serine/threonine-protein kinase TNNI3K	Q59H18	SINGLE PROTEIN	Homo sapiens	226	311
CHEMBL5314	100912	Tyrosine-protein kinase receptor TYRO3	Q06418	SINGLE PROTEIN	Homo sapiens	1794	2475
CHEMBL5320	100918	Myotonin-protein kinase	Q09013	SINGLE PROTEIN	Homo sapiens	408	697
CHEMBL5416	100976	PITSLRE serine/threonine-protein kinase CDC2L2	Q9UQ88	SINGLE PROTEIN	Homo sapiens	95	134
CHEMBL5429	101185	Ribosomal protein S6 kinase beta-1	Q8BSK8	SINGLE PROTEIN	Mus musculus	1	2
CHEMBL5455	100069	Tyrosine-protein kinase FES	P07332	SINGLE PROTEIN	Homo sapiens	1219	1835
CHEMBL5466	100992	Activin receptor type-2B	Q13705	SINGLE PROTEIN	Homo sapiens	111	150
CHEMBL5486	101214	Insulin receptor	P15127	SINGLE PROTEIN	Rattus norvegicus	876	1749
CHEMBL5491	100098	Serine/threonine-protein kinase WEE1	P30291	SINGLE PROTEIN	Homo sapiens	555	966
CHEMBL5508	101002	Dual specificity tyrosine-phosphorylation-regulated kinase 1A	Q63470	SINGLE PROTEIN	Rattus norvegicus	1347	1374
CHEMBL5784	101332	NUAK family SNF1-like kinase 1	O60285	SINGLE PROTEIN	Homo sapiens	847	1445
CHEMBL1075163	103102	Serine/threonine-protein kinase haspin	Q8TF76	SINGLE PROTEIN	Homo sapiens	263	425
CHEMBL1075166	103105	Beta-adrenergic receptor kinase 2	P35626	SINGLE PROTEIN	Homo sapiens	53	60
CHEMBL5838	102678	Receptor tyrosine-protein kinase erbB-3	P21860	SINGLE PROTEIN	Homo sapiens	96	102
CHEMBL5708	101513	Tyrosine-protein kinase transforming protein FPS	P00530	SINGLE PROTEIN	Fujinami sarcoma virus	1	1
CHEMBL1075033	102987	Calcium dependent protein kinase	A0T123	SINGLE PROTEIN	Triticum aestivum	1	1
CHEMBL1075195	103140	Serine/threonine-protein kinase TAO2	Q9UL54	SINGLE PROTEIN	Homo sapiens	296	467
CHEMBL5975	101404	Serine/threonine-protein kinase RIO1	Q9BRS2	SINGLE PROTEIN	Homo sapiens	107	149
CHEMBL1075288	102839	Focal adhesion kinase 1	P34152	SINGLE PROTEIN	Mus musculus	6	6
CHEMBL6166	101464	Mitogen-activated protein kinase kinase kinase kinase 4	O95819	SINGLE PROTEIN	Homo sapiens	1752	2244
CHEMBL4900	100415	Serine/threonine-protein kinase D2	Q9BZL6	SINGLE PROTEIN	Homo sapiens	1690	2308
CHEMBL3836	30018	LIM domain kinase 1	P53667	SINGLE PROTEIN	Homo sapiens	1366	1718
CHEMBL1255165	103576	Serine/threonine-protein kinase mTOR	Q9JLN9	SINGLE PROTEIN	Mus musculus	75	89
CHEMBL2096667	104822	c-Jun N-terminal kinase, JNK	P45983, P45984, P53779	PROTEIN FAMILY	Homo sapiens	306	318
CHEMBL1795170	104250	Macrophage-stimulating protein receptor	Q62190	SINGLE PROTEIN	Mus musculus	7	7
CHEMBL2095188	104772	Glycogen synthase kinase-3	P49840, P49841	PROTEIN FAMILY	Homo sapiens	624	690
CHEMBL2095189	104773	Platelet-derived growth factor receptor	P09619, P16234	PROTEIN COMPLEX	Homo sapiens	472	504
CHEMBL2094126	104708	Cyclin-dependent kinase 2/cyclin E	O96020, P24864, P24941	PROTEIN COMPLEX	Homo sapiens	1068	1311
CHEMBL2111289	104912	Dual specificity mitogen-activated protein kinase kinase; MEK1/2	P36507, Q02750	PROTEIN FAMILY	Homo sapiens	104	175
CHEMBL2111345	105044	AMP-activated protein kinase (AMPK) alpha-1/beta-1/gamma-1	P54619, Q13131, Q9Y478	PROTEIN COMPLEX	Homo sapiens	241	450
CHEMBL2111382	105074	Ca2+/calmodulin-dependent protein kinase II (CaM kinase II)	P08413, P11275, P11730, P15791	PROTEIN FAMILY	Rattus norvegicus	57	57
CHEMBL2111431	104942	Epidermal growth factor receptor and ErbB2 (HER1 and HER2)	P00533, P04626	PROTEIN FAMILY	Homo sapiens	165	180
CHEMBL2111446	104963	cAMP-dependent protein kinase A	P00515, P00517, P05131, P31322	PROTEIN COMPLEX GROUP	Bos taurus	28	41
CHEMBL1795121	104201	Interferon-induced, double-stranded RNA-activated protein kinase	Q03963	SINGLE PROTEIN	Mus musculus	3	3
CHEMBL2034795	104535	Tyrosine-protein kinase Fgr	P14234	SINGLE PROTEIN	Mus musculus	5	5
CHEMBL2034796	104536	Receptor-type tyrosine-protein kinase FLT3	Q00342	SINGLE PROTEIN	Mus musculus	12	12
CHEMBL2034797	104537	Mitogen-activated protein kinase 9	Q9WTU6	SINGLE PROTEIN	Mus musculus	9	9
CHEMBL2034799	104539	Proto-oncogene tyrosine-protein kinase receptor Ret	P35546	SINGLE PROTEIN	Mus musculus	6	6
CHEMBL1907605	104299	Cyclin-dependent kinase 2/cyclin E1	P24864, P24941	PROTEIN COMPLEX	Homo sapiens	802	899
CHEMBL3430904	109661	Coiled-coil domain-containing protein 6/Tyrosine-protein kinase receptor RET	P07949, Q16204	CHIMERIC PROTEIN	Homo sapiens	5	11
CHEMBL3301392	108406	JAK2/TYK2	O60674, P29597	PROTEIN COMPLEX	Homo sapiens	6	12
CHEMBL5213	100103	Cell division control protein 28	P00546	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	7	8
CHEMBL5148	100131	Casein kinase I alpha	Q8BK63	SINGLE PROTEIN	Mus musculus	3	3
CHEMBL3038455	107881	AMPK alpha2/beta1/gamma1	P54619, P54646, Q9Y478	PROTEIN COMPLEX	Homo sapiens	47	65
CHEMBL3038470	107896	CDK2/Cyclin A1	P24941, P78396	PROTEIN COMPLEX	Homo sapiens	10	11
CHEMBL3038472	107898	CDK4/Cyclin D3	P11802, P30281	PROTEIN COMPLEX	Homo sapiens	82	88
CHEMBL3038475	107901	CDK9/Cyclin K	O75909, P50750	PROTEIN COMPLEX	Homo sapiens	22	23
CHEMBL3038502	107928	JNK2/JNK3	P45984, P53779	PROTEIN FAMILY	Homo sapiens	1	1
CHEMBL4885	19650	cAMP-dependent protein kinase alpha-catalytic subunit	Q95J97	SINGLE PROTEIN	Oryctolagus cuniculus	26	26
CHEMBL4898	100413	Neurotrophic tyrosine kinase receptor type 2	Q16620	SINGLE PROTEIN	Homo sapiens	1875	2604
CHEMBL6151	102778	Serine/threonine-protein kinase 31	Q9BXU1	SINGLE PROTEIN	Homo sapiens	1	1
CHEMBL2801	11622	CaM kinase II delta	Q13557	SINGLE PROTEIN	Homo sapiens	1563	2307
CHEMBL3476	10751	Inhibitor of nuclear factor kappa B kinase alpha subunit	O15111	SINGLE PROTEIN	Homo sapiens	1449	2707
CHEMBL4079	10711	G-protein coupled receptor kinase 2	P25098	SINGLE PROTEIN	Homo sapiens	313	342
CHEMBL2169724	105235	CGMP-dependent protein kinase	Q8MMZ4	SINGLE PROTEIN	Plasmodium falciparum	5	5
CHEMBL2363062	105757	Janus Kinase (JAK)	O60674, P23458, P29597, P52333	PROTEIN FAMILY	Homo sapiens	0	0
CHEMBL5025	20155	Tyrosine-protein kinase TEC	Q8CFK4	SINGLE PROTEIN	Mus musculus	21	25
CHEMBL1075222	102920	Protein-tyrosine kinase 2-beta	P70600	SINGLE PROTEIN	Rattus norvegicus	3	3
CHEMBL6051	102397	Mitogen-activated protein kinase 1	Q5SC61	SINGLE PROTEIN	Toxoplasma gondii	3	3
CHEMBL2331061	105657	Serine/threonine-protein kinase B-raf	P28028	SINGLE PROTEIN	Mus musculus	8	8
CHEMBL3108655	108015	Serine/threonine-protein kinase Nek10	Q6ZWH5	SINGLE PROTEIN	Homo sapiens	1	1
CHEMBL3301559	108432	Mitogen-activated protein kinase	Q25917	SINGLE PROTEIN	Plasmodium falciparum	400	400
CHEMBL3407314	109573	LIM domain kinase 1	P53669	SINGLE PROTEIN	Rattus norvegicus	15	15
CHEMBL3627581	109903	Serine/threonine-protein kinase N3	Q6P5Z2	SINGLE PROTEIN	Homo sapiens	4	4
CHEMBL3638361	109966	Aurora kinase B-B	Q6GPL3	SINGLE PROTEIN	Xenopus laevis	6	12
CHEMBL3804748	116790	RAF proto-oncogene serine/threonine-protein kinase	Q99N57	SINGLE PROTEIN	Mus musculus	6	6
CHEMBL3832943	116899	Casein kinase 2	P19784, P67870, P68400, Q8NEV1	PROTEIN FAMILY	Homo sapiens	18	19
CHEMBL3832633	116887	Ribosomal protein S6 kinase	O75582, O75676, P23443, P51812, Q15349, Q15418, Q9UBS0, Q9UK32	PROTEIN FAMILY	Homo sapiens	47	88
CHEMBL3885539	117083	Casein kinase I isoform alpha/subunit beta	P48729, P67870	PROTEIN COMPLEX	Homo sapiens	18	18
CHEMBL3885566	117110	Dual specificity mitogen-activated protein kinase kinase 1/Mitogen-activated protein kinase 1/RAF proto-oncogene serine/threonine-protein kinase	P04049, P28482, Q02750	PROTEIN FAMILY	Homo sapiens	2	2
