CHEMBL_ID	TID	PREF_NAME	PROTEIN_ACCESSION	TARGET_TYPE	ORGANISM	COMPOUNDS	ENDPOINTS
CHEMBL3883303	117016	Aurora kinase A/B	O14965, Q96GD4	PROTEIN FAMILY	Homo sapiens	31	33
CHEMBL3988610	117270	Serine/threonine-protein kinase Sgk1	Q9WVC6	SINGLE PROTEIN	Mus musculus	1	1
CHEMBL331	12946	Cyclin-dependent kinase 4	P11802	SINGLE PROTEIN	Homo sapiens	1515	2827
CHEMBL2359	12782	CaM kinase II alpha	P11275	SINGLE PROTEIN	Rattus norvegicus	1	1
CHEMBL2493	10970	CaM kinase I alpha	Q14012	SINGLE PROTEIN	Homo sapiens	1119	1415
CHEMBL2560	10876	Protein kinase C delta	P28867	SINGLE PROTEIN	Mus musculus	40	190
CHEMBL1841	11755	Tyrosine-protein kinase FYN	P06241	SINGLE PROTEIN	Homo sapiens	2972	4558
CHEMBL1957	234	Insulin-like growth factor I receptor	P08069	SINGLE PROTEIN	Homo sapiens	5170	8322
CHEMBL258	10140	Tyrosine-protein kinase LCK	P06239	SINGLE PROTEIN	Homo sapiens	5543	8032
CHEMBL2742	11926	Fibroblast growth factor receptor 3	P22607	SINGLE PROTEIN	Homo sapiens	2802	5550
CHEMBL2897	11047	Dual specificity mitogen-activated protein kinase kinase 4	P45985	SINGLE PROTEIN	Homo sapiens	161	204
CHEMBL2964	11046	Dual specificity mitogen-activated protein kinase kinase 2	P36507	SINGLE PROTEIN	Homo sapiens	656	730
CHEMBL2996	12247	Protein kinase C delta	Q05655	SINGLE PROTEIN	Homo sapiens	1889	2370
CHEMBL3055	12829	Cyclin-dependent kinase 7	P50613	SINGLE PROTEIN	Homo sapiens	687	768
CHEMBL3099	11802	Tyrosine-protein kinase ABL	P00520	SINGLE PROTEIN	Mus musculus	44	49
CHEMBL3797	20137	Serine-protein kinase ATM	Q13315	SINGLE PROTEIN	Homo sapiens	3402	3727
CHEMBL3829	30002	CaM kinase II gamma	Q13555	SINGLE PROTEIN	Homo sapiens	984	1307
CHEMBL3834	30016	Tyrosine-protein kinase BMX	P51813	SINGLE PROTEIN	Homo sapiens	760	1406
CHEMBL3905	11842	Tyrosine-protein kinase Lyn	P07948	SINGLE PROTEIN	Homo sapiens	2026	3522
CHEMBL3935	20171	Serine/threonine-protein kinase Aurora-C	Q9UQB9	SINGLE PROTEIN	Homo sapiens	845	1521
CHEMBL3938	30004	Serine/threonine-protein kinase 16	O75716	SINGLE PROTEIN	Homo sapiens	334	418
CHEMBL3290	11569	Ephrin type-B receptor 2	P29323	SINGLE PROTEIN	Homo sapiens	776	1411
CHEMBL3337	12469	Vascular endothelial growth factor receptor 2	P35918	SINGLE PROTEIN	Mus musculus	119	122
CHEMBL3529	12915	Inhibitor of nuclear factor kappa B kinase epsilon subunit	Q14164	SINGLE PROTEIN	Homo sapiens	1463	2722
CHEMBL3553	12694	Tyrosine-protein kinase TYK2	P29597	SINGLE PROTEIN	Homo sapiens	2327	3163
CHEMBL3973	11925	Fibroblast growth factor receptor 4	P22455	SINGLE PROTEIN	Homo sapiens	1592	2238
CHEMBL4040	11638	MAP kinase ERK2	P28482	SINGLE PROTEIN	Homo sapiens	19423	22838
CHEMBL4090	20128	Protein kinase Pfmrk	P90584	SINGLE PROTEIN	Plasmodium falciparum	130	147
CHEMBL4147	12415	CaM kinase II alpha	Q9UQM7	SINGLE PROTEIN	Homo sapiens	1146	1635
CHEMBL4179	11407	c-Jun N-terminal kinase 2	P45984	SINGLE PROTEIN	Homo sapiens	3059	3895
CHEMBL4225	30014	Dual specificity protein kinase CLK2	P49760	SINGLE PROTEIN	Homo sapiens	1841	2552
CHEMBL4311	30040	Serine/threonine-protein kinase PAK6	Q9NQU5	SINGLE PROTEIN	Homo sapiens	847	1582
CHEMBL4630	12967	Serine/threonine-protein kinase Chk1	O14757	SINGLE PROTEIN	Homo sapiens	4436	5881
