CHEMBL_ID	TID	PREF_NAME	PROTEIN_ACCESSION	TARGET_TYPE	ORGANISM	COMPOUNDS	ENDPOINTS
CHEMBL1961783	104468	Nuclear receptor subfamily 1 group D member 1	P20393	SINGLE PROTEIN	Homo sapiens	121	305
CHEMBL2363069	105764	Retinoic acid receptor	P10276, P10826, P13631	PROTEIN FAMILY	Homo sapiens	27	35
CHEMBL2366578	106722	Ecdysone receptor	Q8I1M8, Q8MYA6	PROTEIN COMPLEX	Chilo suppressalis	1	1
CHEMBL2366586	106730	Ecdysone receptor	A3EZJ9, A3EZK0	PROTEIN COMPLEX	Myzus persicae	1	1
CHEMBL3885613	117157	Nuclear receptor subfamily 4 group A member 2/Retinoic acid receptor RXR-alpha	P19793, P43354	PROTEIN COMPLEX	Homo sapiens	5	9
CHEMBL1870	277	Retinoid X receptor beta	P28702	SINGLE PROTEIN	Homo sapiens	230	387
CHEMBL1977	64	Vitamin D receptor	P11473	SINGLE PROTEIN	Homo sapiens	21316	25667
CHEMBL2004	266	Retinoid X receptor gamma	P48443	SINGLE PROTEIN	Homo sapiens	207	346
CHEMBL2034	25	Glucocorticoid receptor	P04150	SINGLE PROTEIN	Homo sapiens	4322	11934
CHEMBL2061	275	Retinoid X receptor alpha	P19793	SINGLE PROTEIN	Homo sapiens	1327	2831
CHEMBL2648	17127	Vitamin D3 receptor	Q7M3G7	SINGLE PROTEIN	Sus scrofa domesticus	18	18
CHEMBL3917	12132	Thyroid hormone receptor beta-1	P18113	SINGLE PROTEIN	Rattus norvegicus	104	299
CHEMBL3304	12638	Progesterone receptor	P07812	SINGLE PROTEIN	Gallus gallus	6	6
CHEMBL3429	10133	Estrogen-related receptor alpha	P11474	SINGLE PROTEIN	Homo sapiens	209	360
CHEMBL3507	11010	Mineralocorticoid receptor	P22199	SINGLE PROTEIN	Rattus norvegicus	243	456
CHEMBL3544	100827	Orphan nuclear receptor LRH-1	O00482	SINGLE PROTEIN	Homo sapiens	310	384
CHEMBL4093	20113	LXR-beta	P55055	SINGLE PROTEIN	Homo sapiens	1715	3298
CHEMBL5716	101297	Nuclear receptor subfamily 2 group C member 2	P49116	SINGLE PROTEIN	Homo sapiens	24	25
CHEMBL5868	101591	Nuclear receptor ROR-alpha	P35398	SINGLE PROTEIN	Homo sapiens	210	318
CHEMBL1961787	104472	Nuclear receptor subfamily 2 group C member 1	P13056	SINGLE PROTEIN	Homo sapiens	2	2
CHEMBL1961789	104474	COUP transcription factor 1	P10589	SINGLE PROTEIN	Homo sapiens	7	7
CHEMBL2094114	104696	Estrogen receptor	P06211, Q62986	PROTEIN FAMILY	Rattus norvegicus	911	1901
CHEMBL2111371	105060	PPAR delta/gamma	P37231, Q03181	SELECTIVITY GROUP	Homo sapiens	4	6
CHEMBL3868	10462	Ecdysone receptor	P49881	SINGLE PROTEIN	Bombyx mori	161	275
CHEMBL3217399	108257	Vitamin D3 receptor A	Q9PTN2	SINGLE PROTEIN	Danio rerio	5	12
CHEMBL2366584	106728	Ecdysone receptor	O97095, Q6V7U7	PROTEIN COMPLEX	Locusta migratoria	1	1
CHEMBL3885521	117065	Baculoviral IAP repeat-containing protein 2/Estrogen receptor	P03372, Q13490	PROTEIN COMPLEX	Homo sapiens	4	7
